rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
706;Meritage Homes;725;3241;6,6;143,3;-4,2;3251;1839;1605;Steven J. Hilton;Chairman &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Scottsdale;AZ;33.4941704;-111.9260519
707;SkyWest;710;3204;2,7;428,9;0;5458;2838;163;Russell A. Childs;President, Chief Executive Officer &  Director;Transportation;Airlines;0;St. George;UT;37.0965278;-113.5684164
708;USG;566;3204;-24,9;88;-82,7;3851;5664;68;Jennifer F. Scanlon;President, Chief Executive Officer &  Director;Materials;Building Materials, Glass;0;Chicago;IL;41.8781136;-87.6297982
709;Southwestern Energy;823;3203;31,5;1046;0;7521;2542;1575;William J. Way;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;0;Spring;TX;30.0799405;-95.4171601
710;Keysight Technologies;745;3189;9,3;102;-69,6;5933;9825;126;Ronald S. Nersesian;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;0;Santa Rosa;CA;38.440429;-122.7140548
711;Regal Entertainment Group;696;3163;-1,1;112,3;-34,1;2843;0;26047;Nisan Cohen;President, Chief Executive Officer &  Director;Media;Entertainment;0;Knoxville;TN;35.9606384;-83.9207392
712;Mutual of America Life Insurance;770;3163;16,1;26,2;56,7;21194;0;1079;John R. Greed;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);0;New York;NY;40.7127753;-74.0059728
713;Paychex;737;3151;6,8;817,3;8;6834;22128;137;Martin Mucci;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;0;Rochester;NY;43.1565779;-77.6088465
714;Brinker International;684;3151;-3,3;150,8;-24,9;1414;1673;57906;Wyman T. Roberts;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Food Services;0;Dallas;TX;32.7766642;-96.7969879
715;Penn National Gaming;728;3148;3,7;473,5;333,1;5235;2407;18754;Timothy J. Wilmott;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Wyomissing;PA;40.329537;-75.9652117
716;Gannett;722;3147;3,2;6,9;-86,9;257;1126;19;Robert J. Dickey;President, Chief Executive Officer &  Director;Media;Publishing, Printing;0;McLean;VA;38.9338676;-77.1772604
717;Visteon;693;3146;-1,9;176;134,7;2304;3409;10;Sachin S. Lawande;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Van Buren Charter Township;MI;42.2203171;-83.4838244
718;Pinnacle Foods;708;3144;0,5;532;152;6578;644;49;Mark A. Clouse;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;0;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
719;Intuitive Surgical;773;3129;15,7;660;-10,3;5758;46675;4444;Gary S. Guthart;President, Chief Executive Officer &  Director;Health Care;Medical Products and Equipment;0;Sunnyvale;CA;37.36883;-122.0363496
720;Continental Resources;945;3121;57,6;789,4;0;142;22119;1127;Harold G. Hamm;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Oklahoma City;OK;35.4675602;-97.5164276
721;Service Corp. International;729;3095;2,1;546,7;208,8;12865;6959;19468;Thomas L. Ryan;Chairman &  Chief Executive Officer;Business Services;Miscellaneous;0;Houston;TX;29.7604267;-95.3698028
722;Scientific Games;750;3084;6,9;-242,3;0;7725;3743;86;Barry L. Cottle;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Las Vegas;NV;36.1699412;-115.1398296
723;Albemarle;654;3072;-12;54,9;-91,5;7751;10269;54;Luther C. Kissam IV;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Charlotte;NC;35.2270869;-80.8431267
724;Atmos Energy;670;3063;-8,6;396,4;13,2;1075;9348;4565;Michael E. Haefner;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Dallas;TX;32.7766642;-96.7969879
725;Hologic;755;3059;8;755,5;128,4;798;10331;6233;Stephen P. MacMillan;Chairman, President &  Chief Executive Officer;Health Care;Medical Products and Equipment;0;Marlboro;MA;42.3459271;-71.5522874
